location,lat,lng,location_cmp,lat_cmp,lng_cmp,dist,top_label
Adelaide,-34.9281805,138.5999312,Nuriootpa,-34.4693354,138.9939006,0.6047732748149317,top_1
Adelaide,-34.9281805,138.5999312,Nhil,-35.4713087,141.3062355,2.760266509928684,top_2
Adelaide,-34.9281805,138.5999312,MountGambier,-37.8246698,140.7820067624113,3.626445094729428,top_3
Albany,-35.0247822,117.883608,Walpole,-34.9776796,116.7310063,1.1535637536649759,top_1
Albany,-35.0247822,117.883608,Witchcliffe,-34.0263348,115.1004768,2.9568084968391495,top_2
Albany,-35.0247822,117.883608,PerthAirport,-31.9406095,115.96760765137932,3.6308647150974656,top_3
Albury,-36.0804766,146.9162795,WaggaWagga,-35.115,147.3677778,1.0658310279075376,top_1
Albury,-36.0804766,146.9162795,MountGinini,-35.5297196,148.7726345,1.9363334317916494,top_2
Albury,-36.0804766,146.9162795,Sale,-38.1050358,147.0647902,2.029998862639867,top_3
AliceSprings,-23.6983884,133.8812885,Uluru,-25.344857,131.0325171,3.2903430429430833,top_1
AliceSprings,-23.6983884,133.8812885,Woomera,-31.1999142,136.8253532,8.05856105553911,top_2
AliceSprings,-23.6983884,133.8812885,Katherine,-14.4646157,132.2635993,9.374405401040747,top_3
BadgerysCreek,-33.8816671,150.7441627,Penrith,-33.7510792,150.6941684,0.13983071786593015,top_1
BadgerysCreek,-33.8816671,150.7441627,SydneyAirport,-33.9498935,151.18196819346016,0.4430897107368381,top_2
BadgerysCreek,-33.8816671,150.7441627,Sydney,-33.8548157,151.2164539,0.47305388200436604,top_3
Ballarat,-37.5623025,143.8605649,Bendigo,-36.7588767,144.2825931,0.9075245548748964,top_1
Ballarat,-37.5623025,143.8605649,MelbourneAirport,-37.667111000000006,144.83348076679553,0.9785448919363506,top_2
Ballarat,-37.5623025,143.8605649,Melbourne,-37.8142176,144.9631608,1.1310079293730797,top_3
Bendigo,-36.7588767,144.2825931,Ballarat,-37.5623025,143.8605649,0.9075245548748964,top_1
Bendigo,-36.7588767,144.2825931,MelbourneAirport,-37.667111000000006,144.83348076679553,1.06224609442629,top_2
Bendigo,-36.7588767,144.2825931,Watsonia,-37.7110022,145.083635,1.2442713101674483,top_3
Brisbane,-27.4689682,153.0234991,GoldCoast,-28.0023731,153.4145987,0.6614224704862716,top_1
Brisbane,-27.4689682,153.0234991,CoffsHarbour,-30.2962407,153.1135293,2.8287055743163316,top_2
Brisbane,-27.4689682,153.0234991,Moree,-29.4617202,149.8407153,3.7551528931651372,top_3
Cairns,-16.9206657,145.7721854,Townsville,-19.2569391,146.8239537,2.5621065466589075,top_1
Cairns,-16.9206657,145.7721854,Richmond,-20.569655,142.9283602143393,4.6262797794894155,top_2
Cairns,-16.9206657,145.7721854,Brisbane,-27.4689682,153.0234991,12.800321714992707,top_3
Canberra,-35.2975906,149.1012676,Tuggeranong,-35.4209771,149.0921341,0.12372408498146342,top_1
Canberra,-35.2975906,149.1012676,MountGinini,-35.5297196,148.7726345,0.4023475948189624,top_2
Canberra,-35.2975906,149.1012676,WaggaWagga,-35.115,147.3677778,1.7430795202492633,top_3
Cobar,-31.4983333,145.8344444,WaggaWagga,-35.115,147.3677778,3.928280709730974,top_1
Cobar,-31.4983333,145.8344444,Moree,-29.4617202,149.8407153,4.494218446323949,top_2
Cobar,-31.4983333,145.8344444,Mildura,-34.1847265,142.1624972,4.549714789368022,top_3
CoffsHarbour,-30.2962407,153.1135293,GoldCoast,-28.0023731,153.4145987,2.313540868440864,top_1
CoffsHarbour,-30.2962407,153.1135293,Williamtown,-32.815,151.8427778,2.8211624884236604,top_2
CoffsHarbour,-30.2962407,153.1135293,Brisbane,-27.4689682,153.0234991,2.8287055743163316,top_3
Dartmoor,-37.9225444,141.2766551,MountGambier,-37.8246698,140.7820067624113,0.5042384507397505,top_1
Dartmoor,-37.9225444,141.2766551,Portland,-38.3456231,141.6042304,0.5350711761661082,top_2
Dartmoor,-37.9225444,141.2766551,Nhil,-35.4713087,141.3062355,2.4514141749240665,top_3
Darwin,-12.46044,130.8410469,Katherine,-14.4646157,132.2635993,2.457717552367694,top_1
Darwin,-12.46044,130.8410469,AliceSprings,-23.6983884,133.8812885,11.641930820419484,top_2
Darwin,-12.46044,130.8410469,Uluru,-25.344857,131.0325171,12.885839602733578,top_3
GoldCoast,-28.0023731,153.4145987,Brisbane,-27.4689682,153.0234991,0.6614224704862716,top_1
GoldCoast,-28.0023731,153.4145987,CoffsHarbour,-30.2962407,153.1135293,2.313540868440864,top_2
GoldCoast,-28.0023731,153.4145987,Moree,-29.4617202,149.8407153,3.8603544545901434,top_3
Hobart,-42.8825088,147.3281233,Launceston,-41.4340813,147.1373496,1.460936968992133,top_1
Hobart,-42.8825088,147.3281233,Sale,-38.1050358,147.0647902,4.784724922844002,top_2
Hobart,-42.8825088,147.3281233,Melbourne,-37.8142176,144.9631608,5.592908305560142,top_3
Katherine,-14.4646157,132.2635993,Darwin,-12.46044,130.8410469,2.457717552367694,top_1
Katherine,-14.4646157,132.2635993,AliceSprings,-23.6983884,133.8812885,9.374405401040747,top_2
Katherine,-14.4646157,132.2635993,Uluru,-25.344857,131.0325171,10.949667306789854,top_3
Launceston,-41.4340813,147.1373496,Hobart,-42.8825088,147.3281233,1.460936968992133,top_1
Launceston,-41.4340813,147.1373496,Sale,-38.1050358,147.0647902,3.329836153266194,top_2
Launceston,-41.4340813,147.1373496,Melbourne,-37.8142176,144.9631608,4.22261887276405,top_3
Melbourne,-37.8142176,144.9631608,Watsonia,-37.7110022,145.083635,0.15864252791353503,top_1
Melbourne,-37.8142176,144.9631608,MelbourneAirport,-37.667111000000006,144.83348076679553,0.19610523393185963,top_2
Melbourne,-37.8142176,144.9631608,Ballarat,-37.5623025,143.8605649,1.1310079293730797,top_3
MelbourneAirport,-37.667111000000006,144.83348076679553,Melbourne,-37.8142176,144.9631608,0.19610523393185963,top_1
MelbourneAirport,-37.667111000000006,144.83348076679553,Watsonia,-37.7110022,145.083635,0.25397554572743547,top_2
MelbourneAirport,-37.667111000000006,144.83348076679553,Ballarat,-37.5623025,143.8605649,0.9785448919363506,top_3
Mildura,-34.1847265,142.1624972,Nhil,-35.4713087,141.3062355,1.545470108492462,top_1
Mildura,-34.1847265,142.1624972,Nuriootpa,-34.4693354,138.9939006,3.181352957389478,top_2
Mildura,-34.1847265,142.1624972,Bendigo,-36.7588767,144.2825931,3.3348247146374845,top_3
Moree,-29.4617202,149.8407153,CoffsHarbour,-30.2962407,153.1135293,3.377534003310155,top_1
Moree,-29.4617202,149.8407153,Brisbane,-27.4689682,153.0234991,3.7551528931651372,top_2
Moree,-29.4617202,149.8407153,GoldCoast,-28.0023731,153.4145987,3.8603544545901434,top_3
MountGambier,-37.8246698,140.7820067624113,Dartmoor,-37.9225444,141.2766551,0.5042384507397505,top_1
MountGambier,-37.8246698,140.7820067624113,Portland,-38.3456231,141.6042304,0.9733673771965492,top_2
MountGambier,-37.8246698,140.7820067624113,Nhil,-35.4713087,141.3062355,2.4110421473518606,top_3
MountGinini,-35.5297196,148.7726345,Tuggeranong,-35.4209771,149.0921341,0.33749803807786766,top_1
MountGinini,-35.5297196,148.7726345,Canberra,-35.2975906,149.1012676,0.4023475948189624,top_2
MountGinini,-35.5297196,148.7726345,WaggaWagga,-35.115,147.3677778,1.4647916896811908,top_3
Newcastle,-32.9192953,151.7795348,Williamtown,-32.815,151.8427778,0.12197207324256984,top_1
Newcastle,-32.9192953,151.7795348,NorahHead,-33.2816667,151.5677778,0.4197071104793948,top_2
Newcastle,-32.9192953,151.7795348,Sydney,-33.8548157,151.2164539,1.0919059111301486,top_3
Nhil,-35.4713087,141.3062355,Mildura,-34.1847265,142.1624972,1.545470108492462,top_1
Nhil,-35.4713087,141.3062355,MountGambier,-37.8246698,140.7820067624113,2.4110421473518606,top_2
Nhil,-35.4713087,141.3062355,Dartmoor,-37.9225444,141.2766551,2.4514141749240665,top_3
NorahHead,-33.2816667,151.5677778,Newcastle,-32.9192953,151.7795348,0.4197071104793948,top_1
NorahHead,-33.2816667,151.5677778,Williamtown,-32.815,151.8427778,0.5416666953846225,top_2
NorahHead,-33.2816667,151.5677778,Sydney,-33.8548157,151.2164539,0.6722560962253885,top_3
NorfolkIsland,-29.0289575,167.9587289126371,GoldCoast,-28.0023731,153.4145987,14.580315468893897,top_1
NorfolkIsland,-29.0289575,167.9587289126371,CoffsHarbour,-30.2962407,153.1135293,14.899193207957357,top_2
NorfolkIsland,-29.0289575,167.9587289126371,Brisbane,-27.4689682,153.0234991,15.01647948663062,top_3
Nuriootpa,-34.4693354,138.9939006,Adelaide,-34.9281805,138.5999312,0.6047732748149317,top_1
Nuriootpa,-34.4693354,138.9939006,Nhil,-35.4713087,141.3062355,2.5200879317339346,top_2
Nuriootpa,-34.4693354,138.9939006,Mildura,-34.1847265,142.1624972,3.181352957389478,top_3
PearceRAAF,-31.6739604,116.01754351808195,PerthAirport,-31.9406095,115.96760765137932,0.271284598372546,top_1
PearceRAAF,-31.6739604,116.01754351808195,Perth,-31.9527121,115.8604796,0.31995559788217887,top_2
PearceRAAF,-31.6739604,116.01754351808195,Witchcliffe,-34.0263348,115.1004768,2.524812207509497,top_3
